"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"576815662326222848","576719858768977920","137717933","2015-03-14 18:42:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kerstenbreyne ik hield het liever bij een manama: 
http://t.co/fr5FTAKhAy ;-)","","","","http://m.youtube.com/watch?v=8N_tupPBtWQ"
"576813150034612225","","","2015-03-14 18:32:26 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @simplicitybliss: Light travels faster than sound, that is why some people appear bright until you hear them speak.","576421896180346880","1487601","2015-03-13 16:37:44 +0000",""
"576321557540274176","","","2015-03-13 09:59:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://t.co/Zs1AKLanWP","","","","http://twitter.com/Kcolpaert/status/576321557540274176/photo/1"
"575707264436281346","","","2015-03-11 17:18:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @tombernaerd: .zshrc toevoegingske.
alias ivago=""rm -rf ~/.Trash/*""","575598398553919488","810972","2015-03-11 10:05:26 +0000",""
"575279352486690816","","","2015-03-10 12:57:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @ClipperChip: Imagine. http://t.co/6b6cqTS4FR","574610320561467392","225663702","2015-03-08 16:39:10 +0000","http://twitter.com/ClipperChip/status/574610320561467392/photo/1,http://twitter.com/ClipperChip/status/574610320561467392/photo/1"
"574966817086644224","574917439743508480","137717933","2015-03-09 16:15:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kerstenbreyne 2 uur lang gemiddeld meer dan 30/uur rijden? Met bagage?! Dat geloof je toch niet? Geef die jongen een contract :-)","","","",""
"574508257965969409","","","2015-03-08 09:53:37 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Editors (11), Christine and the Queens (11) &amp; Pink Floyd (3) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"571384795613274113","","","2015-02-27 19:02:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Live long and prosper... http://t.co/xHVmyAEsCQ","","","","http://twitter.com/Kcolpaert/status/571384795613274113/photo/1"
"570524912374448128","","","2015-02-25 10:05:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wat ik al jaren zeg: overheid is grootste innovator http://t.co/nAhAPm3xDt","","","","http://goo.gl/wEQQxH"
"570173354277257216","","","2015-02-24 10:48:15 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @kruismans: De mensen die geen bruine poetsvrouw willen, zouden dat dezelfde zijn die vinden dat die bruine sjarels niet willen werken?","570158569624084480","1725966541","2015-02-24 09:49:30 +0000",""
"569469077665808385","","","2015-02-22 12:09:42 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: The National (4), London Grammar (2) &amp; Johnny Cash (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"568334351060090880","","282086941","2015-02-19 09:00:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@smvhoof  Margin Ale blijft toch de beste #everydaypils","","","",""
"568320974246023168","568316342002184193","62487343","2015-02-19 08:07:33 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@jimmycappaert ook net S01E03 doorgejaagd op trein :-) #BetterCallSaul","","","",""
"566642989439938561","","","2015-02-14 16:59:51 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Just bought the ebook of ""You're my Favorite Client"". Never thought to spend a valentine's day with Mike @monteiro …","","","",""
"566173755161210880","566006680765607937","282086941","2015-02-13 09:55:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@smvhoof merci Steven","","","",""
"565997135498588161","","","2015-02-12 22:13:27 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","New blog post:Farewell Letter to My Dad http://t.co/tddYIBzJLf","","","","http://ift.tt/1DKLJvs"
"564400400208773121","","","2015-02-08 12:28:36 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: Neon (3), Front 242 (1) &amp; T99 (1) #last.fm http://t.co/X1QEcD4jFK","","","","http://bit.ly/gnYiga"
"561854173143388160","","","2015-02-01 11:50:48 +0000","<a href=""http://www.tweekly.fm/"" rel=""nofollow"">Tweekly.fm</a>","My Top 3 #lastfm Artists: The Smiths (45), Christine and the Queens (10) &amp; Lorde (3) #last.fm http://t.co/U8aHxKkZnv","","","","http://bit.ly/gnYiga"
"560558622334541825","560534106497642496","22236163","2015-01-28 22:02:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@SachaKljestan tnx for everything. Good luck!","","","",""
